Date,004370.KS,298040.KS,065350.KQ,192820.KS,003230.KS,161890.KS,213420.KQ,091120.KQ,006120.KS,011810.KS,025980.KQ,352480.KQ,228760.KQ,068400.KS,005180.KS,243070.KQ,206640.KQ,060590.KQ,056080.KQ,084110.KQ,204620.KQ,096760.KS,026890.KS,051360.KQ,114840.KQ,357580.KQ,267320.KQ,007210.KS,173130.KQ,214420.KS,069460.KS,309930.KQ,099440.KQ,044820.KS,223250.KQ,340360.KQ,025560.KS,367480.KQ,367360.KQ
2023-07-18,396500.0,129000.0,12230.0,97900.0,116800.0,46400.0,43600.0,38900.0,35200.0,13290.0,7050.0,47000.0,14990.0,10260.0,42850.0,29850.0,15300.0,9500.0,5540.0,19920.0,3440.0,3845.0,6560.0,14200.0,25400.0,15520.0,3770.0,2210.0,10500.0,5280.0,1375.0,4255.0,2070.0,9430.0,,882.0,5108.33349609375,3950.0,
2023-07-19,413500.0,131300.0,12170.0,95100.0,118500.0,45500.0,43500.0,37750.0,35300.0,14440.0,6840.0,43950.0,14910.0,10330.0,43350.0,29750.0,15650.0,9460.0,5480.0,19550.0,3400.0,3815.0,6960.0,13500.0,24200.0,15650.0,3710.0,2185.0,10340.0,5200.0,1395.0,4330.0,2100.0,9490.0,12050.0,887.0,4783.33349609375,3860.0,
2023-07-20,401000.0,133500.0,13190.0,96700.0,116300.0,46200.0,44400.0,38150.0,37050.0,13370.0,6890.0,43000.0,17050.0,10500.0,43800.0,30000.0,15010.0,9300.0,5560.0,19670.0,3380.0,3870.0,6690.0,13660.0,24000.0,15370.0,3860.0,2180.0,10890.0,5020.0,1409.0,4420.0,2090.0,9500.0,12250.0,886.0,5058.33349609375,3660.0,
2023-07-21,405500.0,130500.0,13110.0,98000.0,118700.0,46700.0,42800.0,39450.0,37650.0,13830.0,6800.0,42700.0,16800.0,10400.0,44750.0,31050.0,14860.0,9410.0,5490.0,19860.0,3365.0,3920.0,6750.0,13490.0,23750.0,15000.0,3780.0,2180.0,11040.0,4940.0,1376.0,4330.0,2030.0,9490.0,12150.0,865.0,5016.66650390625,3655.0,
2023-07-24,401000.0,133000.0,13450.0,98000.0,116600.0,45750.0,41850.0,39100.0,36600.0,14890.0,6720.0,42750.0,16200.0,10360.0,44450.0,30350.0,14790.0,9350.0,5350.0,19380.0,3320.0,3875.0,6620.0,13800.0,22500.0,14890.0,3840.0,2230.0,10620.0,4750.0,1352.0,4315.0,1980.0,9440.0,11900.0,836.0,4041.666748046875,3705.0,
2023-07-25,401000.0,148800.0,13430.0,98600.0,118000.0,46600.0,41350.0,38050.0,36150.0,13960.0,6630.0,42600.0,15270.0,10450.0,43500.0,30450.0,14600.0,9310.0,5070.0,18960.0,3280.0,3750.0,6440.0,13880.0,21800.0,15350.0,3605.0,2170.0,10400.0,4500.0,1324.0,4145.0,1953.0,9230.0,,838.0,4550.0,3845.0,
2023-07-26,389500.0,134700.0,12890.0,96600.0,114700.0,44600.0,39650.0,37100.0,35200.0,13090.0,6550.0,40300.0,14300.0,10300.0,42450.0,29400.0,13700.0,8980.0,4755.0,18170.0,3310.0,3580.0,6110.0,13520.0,20600.0,14470.0,3545.0,2155.0,10270.0,4200.0,1279.0,4100.0,1904.0,8730.0,11400.0,820.0,4366.66650390625,3770.0,
2023-07-27,400500.0,126500.0,12200.0,103400.0,116000.0,47250.0,41200.0,36500.0,35350.0,12400.0,6840.0,42800.0,14590.0,10400.0,43950.0,31350.0,14170.0,9080.0,5140.0,19110.0,3515.0,3680.0,6290.0,13700.0,21400.0,14300.0,3510.0,2325.0,10520.0,4170.0,1342.0,4365.0,1933.0,9120.0,11620.0,834.0,4700.0,3665.0,
2023-07-28,397500.0,134300.0,13800.0,102700.0,117200.0,47550.0,40750.0,37550.0,35000.0,12170.0,6730.0,43000.0,15370.0,10500.0,45650.0,31550.0,14620.0,9140.0,5220.0,19250.0,3650.0,3760.0,6350.0,13470.0,21150.0,14520.0,3705.0,2305.0,11240.0,4380.0,1371.0,4745.0,2000.0,9170.0,11820.0,842.0,4816.66650390625,3585.0,
2023-07-31,397000.0,174500.0,15180.0,102600.0,121000.0,48350.0,40300.0,37450.0,35850.0,13400.0,6720.0,43500.0,15840.0,10670.0,45950.0,32350.0,14500.0,9240.0,5290.0,20000.0,3680.0,4000.0,6350.0,13180.0,20550.0,15030.0,3760.0,2330.0,11000.0,4410.0,1629.0,5390.0,2000.0,9430.0,11920.0,833.0,5000.0,3600.0,
2023-08-01,402000.0,164600.0,19730.0,101900.0,117400.0,48850.0,40600.0,37150.0,36700.0,13590.0,6660.0,43200.0,15700.0,10700.0,46000.0,32300.0,14660.0,9470.0,5640.0,,3670.0,3840.0,6510.0,13310.0,21550.0,14840.0,3700.0,2410.0,10970.0,4370.0,1993.0,5270.0,2065.0,9460.0,12850.0,837.0,5783.33349609375,3700.0,
2023-08-02,398000.0,166600.0,25600.0,102600.0,115200.0,47950.0,39650.0,35950.0,36800.0,12600.0,6600.0,43850.0,14500.0,10860.0,46300.0,33250.0,14250.0,9550.0,5560.0,20150.0,3625.0,3845.0,6500.0,13400.0,20650.0,14450.0,3720.0,2550.0,10830.0,4550.0,2040.0,5350.0,2080.0,9460.0,13900.0,833.0,5933.33349609375,3680.0,
2023-08-03,396500.0,186700.0,25350.0,100100.0,115800.0,48300.0,39450.0,35750.0,38100.0,15660.0,6610.0,44500.0,17470.0,10900.0,46200.0,33600.0,14930.0,9730.0,5520.0,20500.0,3730.0,3990.0,6530.0,15240.0,20150.0,14150.0,3600.0,2525.0,10890.0,4495.0,2170.0,5500.0,2050.0,9390.0,13430.0,823.0,5000.0,3650.0,
2023-08-04,403000.0,172800.0,19100.0,104200.0,118300.0,48850.0,39100.0,36150.0,38100.0,15050.0,6510.0,48100.0,17980.0,11050.0,46050.0,33500.0,15190.0,9920.0,5730.0,21100.0,3935.0,3995.0,6680.0,15390.0,22400.0,14470.0,3595.0,2525.0,13010.0,4780.0,2375.0,5920.0,2310.0,9470.0,13850.0,832.0,4758.33349609375,3650.0,
2023-08-07,426500.0,174700.0,24800.0,107000.0,123600.0,51700.0,41150.0,34800.0,38450.0,14030.0,6700.0,57200.0,19010.0,11490.0,46200.0,33500.0,14850.0,10430.0,7440.0,21000.0,3910.0,3985.0,6690.0,15530.0,24050.0,14480.0,3490.0,2495.0,13770.0,4765.0,2200.0,6090.0,2375.0,9620.0,13700.0,834.0,4333.33349609375,3605.0,
2023-08-08,420000.0,188900.0,23200.0,106000.0,122600.0,52000.0,40900.0,40050.0,38050.0,16960.0,6770.0,56900.0,19160.0,11470.0,46600.0,40200.0,15400.0,9810.0,9280.0,23200.0,3900.0,3995.0,6750.0,15100.0,23700.0,14600.0,3415.0,2615.0,13340.0,4670.0,2120.0,5830.0,2340.0,9600.0,13900.0,897.0,5091.66650390625,3460.0,
2023-08-09,411500.0,191300.0,26600.0,104000.0,125500.0,51200.0,40850.0,42550.0,38650.0,15730.0,6730.0,54700.0,22350.0,11600.0,45900.0,40800.0,17830.0,10530.0,9090.0,23300.0,4040.0,4095.0,6670.0,15400.0,22750.0,14620.0,3460.0,2590.0,14060.0,4710.0,2240.0,5950.0,2630.0,9590.0,14140.0,1080.0,5250.0,3505.0,
2023-08-10,413500.0,186800.0,34550.0,123800.0,125500.0,54800.0,41000.0,42850.0,39400.0,16080.0,8430.0,59100.0,22250.0,11800.0,46400.0,41350.0,17850.0,10380.0,9270.0,23950.0,4670.0,4245.0,6780.0,16080.0,24950.0,14400.0,3445.0,2610.0,14060.0,6120.0,2365.0,5930.0,2680.0,10400.0,14290.0,1166.0,4958.33349609375,3510.0,
2023-08-11,459000.0,186800.0,40000.0,133100.0,136100.0,56800.0,41700.0,43150.0,39600.0,16300.0,8620.0,65400.0,26500.0,12220.0,47400.0,43500.0,17830.0,10670.0,9910.0,25100.0,4700.0,4265.0,6940.0,15950.0,24950.0,14370.0,3480.0,2645.0,14250.0,6500.0,2510.0,5880.0,2850.0,10240.0,14290.0,1191.0,5216.66650390625,3705.0,
2023-08-14,473500.0,188100.0,,142100.0,176900.0,58100.0,43300.0,49500.0,39400.0,15830.0,8730.0,65400.0,29050.0,11760.0,53300.0,43600.0,18270.0,11000.0,9430.0,25750.0,5400.0,4320.0,6940.0,15940.0,24750.0,14590.0,3330.0,2590.0,14410.0,6540.0,2400.0,5800.0,2805.0,10320.0,13900.0,1176.0,5041.66650390625,3720.0,
2023-08-16,475500.0,186000.0,52000.0,138200.0,176000.0,58000.0,43500.0,48700.0,38500.0,20550.0,8360.0,70700.0,29300.0,11920.0,52800.0,45200.0,18710.0,11000.0,8850.0,25800.0,5480.0,4390.0,6700.0,15890.0,25550.0,13950.0,3315.0,2645.0,14690.0,6320.0,2320.0,6040.0,2930.0,10120.0,13900.0,1440.0,4775.0,3835.0,
2023-08-17,461500.0,186900.0,59900.0,137900.0,173500.0,56200.0,45150.0,49050.0,38400.0,20800.0,8190.0,70900.0,26050.0,12430.0,55400.0,44000.0,18580.0,11010.0,8740.0,24750.0,5700.0,4330.0,6840.0,16920.0,26550.0,14480.0,3705.0,2530.0,13730.0,5890.0,2255.0,6050.0,2730.0,9990.0,13910.0,1445.0,6230.0,3940.0,
2023-08-18,470000.0,186000.0,,140000.0,181400.0,57200.0,45250.0,50800.0,40400.0,24750.0,8040.0,70100.0,26950.0,12770.0,55600.0,43550.0,18150.0,14310.0,8570.0,24750.0,5670.0,4280.0,6830.0,16620.0,28700.0,18820.0,4815.0,2670.0,14630.0,6200.0,2300.0,5840.0,2750.0,10180.0,14000.0,1700.0,8090.0,,2805.0
